id_coleta,id_fazenda,id_rota,data_coleta,volume_litros,temperatura_c,gordura_pct,proteina_pct,acidez
1,93,17,2023-01-01,2582.78,7.8,3.32,3.12,
2,240,3,2023-01-01,4074.12,9.8,4.24,2.87,15.0
3,82,4,2023-01-01,3911.98,,5.16,3.37,14.9
4,34,14,2023-01-01,4315.93,4.0,3.8,3.49,
5,100,2,2023-01-01,1271.29,2.6,3.71,3.19,14.05
6,221,20,2023-01-01,2906.27,4.9,5.49,3.68,18.78
7,215,18,2023-01-01,4675.51,8.7,,3.59,18.36
8,146,16,2023-01-01,2743.11,9.8,,3.08,16.48
9,108,19,2023-01-01,2400.6,3.1,3.19,3.32,15.42
10,94,11,2023-01-01,1712.04,4.2,3.51,3.5,14.99
11,140,7,2023-01-01,2151.26,5.7,3.23,3.17,17.62
12,175,8,2023-01-01,4311.55,,3.75,3.01,19.13
13,45,4,2023-01-01,2840.58,,5.08,2.96,16.23
14,196,9,2023-01-01,3294.49,2.6,3.49,3.77,19.08
15,121,2,2023-01-01,788.13,6.6,,3.62,15.29
16,198,2,2023-01-01,1543.3,6.9,4.25,3.37,16.3
17,19,8,2023-01-01,3284.73,8.4,5.47,3.23,16.91
18,5,6,01/01/2023,2611.49,,5.03,3.77,16.14
19,151,8,2023-01-01,1317.26,4.1,5.29,4.0,19.08
20,18,6,2023-01-01,1903.06,6.7,4.74,2.83,19.69
21,4,16,2023-01-01,2902.92,,3.14,2.82,15.99
22,68,6,2023-01-01,4070.94,8.8,3.05,3.9,19.08
23,56,13,2023-01-01,4810.68,4.7,5.44,3.32,16.92
24,11,20,2023-01-01,3594.48,3.8,3.44,3.63,18.37
25,16,19,01/01/2023,4753.75,6.8,5.42,3.48,14.84
26,203,6,2023-01-01,1342.38,9.7,4.68,,15.26
27,102,1,2023-01-01,1882.31,5.5,3.42,3.86,16.25
28,130,8,2023-01-01,3985.9,2.6,3.74,3.94,15.02
29,74,3,2023-01-01,3713.53,9.9,4.76,3.58,
30,161,14,2023-01-01,1789.25,7.8,3.66,,17.43
31,183,14,2023-01-01,937.23,8.6,4.2,3.05,19.86
32,129,16,2023-01-01,754.44,7.3,4.36,3.86,16.67
33,197,9,2023-01-01,2432.28,3.2,3.24,3.77,18.54
34,107,17,2023-01-01,492.72,6.3,4.19,3.37,19.42
35,109,19,2023-01-01,2610.09,7.0,4.89,3.98,18.85
36,180,14,2023-01-01,2232.2,8.6,4.49,3.67,14.52
37,103,17,2023-01-01,2849.86,9.0,4.56,3.3,14.89
38,22,4,2023-01-01,3840.21,2.8,4.34,3.29,16.91
39,164,5,2023-01-01,379.84,7.4,3.99,,16.85
40,138,10,2023-01-01,1987.72,8.7,4.71,3.07,18.46
41,206,20,2023-01-01,1740.17,3.5,5.06,3.71,18.93
42,158,17,2023-01-01,963.07,8.2,4.42,3.85,
43,40,7,2023-01-01,442.68,8.6,4.59,2.84,17.56
44,72,12,2023-01-01,4378.31,8.7,5.08,,19.12
45,208,8,2023-01-01,1228.73,4.2,3.05,,19.47
46,80,9,2023-01-01,-3085.48,9.5,4.77,3.87,16.75
47,21,20,2023-01-01,1650.3,2.8,4.66,3.25,17.65
48,131,9,2023-01-01,718.9,8.9,4.78,3.16,18.59
49,53,20,2023-01-01,4066.06,4.6,3.06,3.15,16.43
50,220,7,2023-01-01,2998.51,7.7,4.6,3.93,15.8
51,205,10,2023-01-01,3356.55,3.0,5.02,3.02,16.01
52,84,10,2023-01-01,1905.36,9.1,4.46,2.94,17.81
53,101,7,2023-01-01,3179.14,8.9,3.75,3.83,15.2
54,227,15,2023-01-01,2933.14,8.9,3.2,3.98,14.35
55,163,19,2023-01-01,1205.04,5.9,3.22,3.56,19.79
56,167,12,2023-01-01,381.08,9.1,,2.8,15.36
57,234,17,2023-01-01,1698.04,3.3,3.75,3.67,16.03
58,165,16,2023-01-01,4978.27,3.5,5.3,3.07,14.79
59,17,12,2023-01-01,3030.53,8.3,4.6,3.55,14.29
60,200,4,2023-01-01,4213.38,5.0,4.19,3.63,15.81
61,179,20,2023-01-01,3379.92,5.4,4.28,3.14,16.99
62,112,7,2023-01-01,3934.2,5.3,4.37,3.63,
63,62,19,2023-01-01,627.21,3.2,4.28,2.92,15.39
64,15,4,2023-01-01,1620.91,9.0,3.9,3.31,19.11
65,63,6,2023-01-01,246.43,9.2,3.67,3.25,14.68
66,23,16,2023-01-01,2391.39,7.2,3.28,2.87,14.96
67,184,15,2023-01-01,3035.6,5.0,3.07,3.81,14.78
68,30,2,2023-01-01,742.1,,5.17,3.69,15.34
69,117,20,2023-01-01,4391.09,7.3,3.86,3.26,17.35
70,157,6,2023-01-01,461.92,5.8,3.41,3.18,15.67
71,156,8,2023-01-01,2842.38,5.6,3.22,3.18,
72,182,18,01/01/2023,2136.51,2.7,4.55,3.41,18.03
73,186,8,2023-01-01,1944.04,4.7,4.5,3.24,14.58
74,171,10,2023-01-01,210.55,5.0,5.24,3.79,16.46
75,169,13,2023-01-01,1140.42,8.6,3.84,2.86,18.03
76,233,19,2023-01-01,4480.42,3.1,,3.92,16.9
77,31,19,2023-01-01,4621.58,8.5,4.64,3.19,16.51
78,225,13,2023-01-01,3524.07,9.8,3.33,3.64,15.79
79,36,18,2023-01-01,4331.4,3.6,3.73,3.61,17.9
80,3,11,2023-01-01,2618.69,8.1,4.46,3.65,19.36
81,42,1,2023-01-01,4411.89,2.2,4.68,3.7,15.72
82,177,20,2023-01-02,444.11,4.4,4.38,3.65,19.74
83,201,18,2023-01-02,3974.04,2.7,3.53,3.23,18.52
84,76,1,2023-01-02,4983.83,4.8,4.61,,19.31
85,53,9,2023-01-02,4021.79,4.3,5.06,3.76,14.26
86,193,4,2023-01-02,1124.06,9.7,3.02,3.6,19.19
87,139,14,2023-01-02,698.85,9.5,3.38,3.2,14.33
88,9,8,2023-01-02,2878.8,5.3,4.01,3.27,14.04
89,92,2,2023-01-02,503.54,2.6,3.27,3.16,18.59
90,209,16,2023-01-02,2096.54,3.8,4.99,3.15,15.79
91,116,12,2023-01-02,4833.75,2.1,,3.49,17.29
92,27,12,2023-01-02,1208.25,9.2,3.36,3.54,14.69
93,158,18,2023-01-02,2923.0,6.4,3.17,3.67,15.99
94,223,20,2023-01-02,3346.27,3.5,3.82,3.63,17.4
95,173,11,2023-01-02,4801.56,3.8,4.09,2.96,19.27
96,190,18,2023-01-02,1921.96,7.2,3.7,3.87,18.4
97,144,17,2023-01-02,3691.64,8.5,4.92,2.84,19.36
98,222,13,2023-01-02,3338.76,8.2,3.73,3.41,17.01
99,58,20,2023-01-02,4270.31,8.1,3.4,3.48,14.88
100,191,16,2023-01-02,4708.04,4.1,4.67,3.75,19.51
101,166,4,2023-01-02,391.54,6.2,5.09,3.45,17.92
102,230,17,2023-01-02,3336.02,9.8,4.01,3.21,
103,100,8,2023-01-02,4433.76,7.1,3.47,3.66,15.38
104,61,16,2023-01-02,3657.23,6.7,4.03,2.95,14.81
105,131,6,2023-01-02,4475.83,3.4,4.5,2.82,17.97
106,244,16,2023-01-02,611.59,3.4,4.5,3.78,17.96
107,204,15,2023-01-02,3676.1,2.6,,3.43,18.11
108,205,20,2023-01-02,3106.45,9.0,4.88,3.59,
109,179,14,2023-01-02,4701.13,,4.32,3.76,16.29
110,74,19,2023-01-02,3758.69,3.1,3.58,3.14,16.45
111,178,19,2023-01-02,3603.91,6.2,3.51,3.29,16.56
112,171,19,2023-01-02,1454.25,4.2,4.89,3.74,16.22
113,13,12,2023-01-02,1418.13,5.2,5.16,3.08,19.7
114,98,18,2023-01-02,2640.05,,3.97,3.77,16.83
115,224,12,2023-01-02,623.08,2.3,5.46,3.43,17.58
116,107,15,02/01/2023,4137.1,8.8,4.3,3.74,18.19
117,202,1,2023-01-02,3435.32,2.7,4.0,3.29,14.09
118,176,18,2023-01-02,4612.05,4.8,3.69,3.03,17.45
119,81,3,2023-01-02,2154.25,4.7,4.28,3.45,15.5
120,142,8,2023-01-02,2009.99,9.7,4.15,2.83,14.41
121,14,8,2023-01-02,4972.15,5.3,4.34,3.12,16.39
122,4,6,2023-01-02,1841.57,4.8,3.67,3.62,16.99
123,227,7,2023-01-02,3730.06,8.7,3.89,2.94,19.73
124,65,2,2023-01-02,231.79,5.0,5.25,3.49,15.1
125,52,19,2023-01-02,2653.44,6.2,,3.22,18.66
126,159,11,2023-01-02,777.77,2.1,4.45,3.54,17.29
127,200,12,2023-01-02,2462.46,5.4,4.88,3.28,17.43
128,114,9,2023-01-02,3492.86,6.4,3.49,3.69,14.06
129,228,17,2023-01-02,845.46,4.5,3.63,2.86,14.98
130,163,4,2023-01-02,1420.59,4.7,4.4,,14.73
131,181,19,2023-01-02,4822.96,6.3,3.71,3.41,16.68
132,182,5,2023-01-02,3145.59,7.1,4.05,3.29,14.47
133,226,9,2023-01-02,1704.71,5.2,4.95,3.7,16.7
134,95,8,2023-01-02,4300.22,9.5,3.2,2.92,19.27
135,151,3,2023-01-02,326.55,6.9,5.33,3.08,16.66
136,140,2,2023-01-02,2728.36,8.9,4.19,3.45,16.67
137,231,20,2023-01-02,3548.59,8.0,4.09,3.44,16.89
138,155,14,2023-01-02,629.86,,5.04,3.21,14.05
139,51,1,2023-01-02,4745.4,8.4,4.99,3.03,16.62
140,186,13,2023-01-02,3631.7,2.6,4.29,3.54,15.63
141,50,7,2023-01-02,2753.33,3.5,4.59,3.13,
142,243,6,2023-01-02,438.23,4.3,,,15.3
143,115,12,2023-01-02,3971.48,8.3,5.11,2.87,14.43
144,46,13,2023-01-02,1122.52,3.0,3.62,3.33,14.2
145,175,7,2023-01-02,3900.78,7.5,3.81,2.85,17.13
146,20,2,2023-01-02,3264.9,3.7,4.58,3.0,14.72
147,48,16,2023-01-02,242.86,3.2,3.62,3.62,19.82
148,45,5,2023-01-02,488.25,8.3,3.58,3.75,18.83
149,132,12,2023-01-02,1126.23,,4.77,3.45,17.4
150,31,20,2023-01-02,1753.67,6.4,3.39,3.12,14.0
151,97,1,2023-01-02,2019.41,4.9,3.8,3.96,15.14
152,11,10,2023-01-02,3875.52,7.1,4.31,3.8,19.24
153,110,19,2023-01-02,2529.78,5.1,4.56,2.86,
154,72,3,2023-01-02,4620.97,7.1,4.86,3.79,14.35
155,143,10,2023-01-02,2739.3,3.7,3.25,3.26,17.94
156,68,18,2023-01-02,4748.02,2.8,3.89,3.6,15.0
157,34,6,2023-01-02,2127.47,6.8,5.26,4.0,16.47
158,42,8,2023-01-02,4165.54,3.7,5.32,3.95,16.38
159,150,17,2023-01-02,4918.19,,5.46,3.18,19.66
160,66,19,2023-01-02,4611.74,,3.89,3.24,15.4
161,2,7,2023-01-02,641.14,7.8,3.43,3.63,19.45
162,85,19,2023-01-02,1641.89,8.2,3.84,3.32,14.72
163,120,1,2023-01-02,3788.86,,4.31,3.48,18.19
164,40,15,2023-01-02,3433.45,6.6,4.08,2.98,16.86
165,195,13,2023-01-02,2831.13,8.2,3.34,3.39,15.18
166,197,3,2023-01-02,3731.21,5.4,4.44,3.3,15.14
167,83,6,2023-01-02,3345.97,6.9,4.11,2.85,15.2
168,153,4,2023-01-02,3837.12,3.9,3.37,3.15,18.83
169,6,7,2023-01-03,4679.6,3.5,4.53,3.48,15.39
170,85,16,2023-01-03,1924.45,8.8,4.62,3.26,14.98
171,54,9,2023-01-03,2161.23,3.8,3.51,3.01,16.64
172,190,8,2023-01-03,3501.74,8.2,5.06,3.27,17.43
173,138,2,2023-01-03,3278.69,5.6,3.11,3.42,18.41
174,55,2,2023-01-03,2677.41,5.5,4.93,3.0,19.51
175,53,15,2023-01-03,4537.64,6.0,4.46,3.46,
176,140,7,2023-01-03,2377.67,2.7,4.62,3.0,14.55
177,134,13,2023-01-03,3243.55,9.8,3.4,2.85,16.01
178,193,5,2023-01-03,4340.83,7.7,3.77,3.34,14.71
179,67,9,03/01/2023,1173.69,6.0,5.02,3.39,17.96
180,141,1,2023-01-03,2321.0,6.4,4.39,2.86,
181,124,20,2023-01-03,4298.38,,4.04,3.61,18.15
182,160,15,2023-01-03,3979.08,,4.92,3.88,18.55
183,187,4,2023-01-03,511.64,4.2,4.31,3.53,18.38
184,37,20,2023-01-03,4938.51,9.9,4.52,3.43,16.12
185,178,16,2023-01-03,2900.64,3.4,4.77,,17.75
186,179,14,2023-01-03,4270.73,4.7,,3.04,18.74
187,172,1,2023-01-03,2632.11,4.7,4.42,3.8,19.0
188,5,2,2023-01-03,2499.72,5.9,5.23,3.2,16.48
189,97,11,2023-01-03,4208.51,2.1,3.83,3.75,14.9
190,150,18,2023-01-03,1827.93,6.6,4.49,3.7,
191,170,8,2023-01-03,2186.57,8.6,4.31,,15.21
192,135,17,2023-01-03,2628.77,4.7,5.18,3.19,14.59
193,12,7,2023-01-03,2677.5,5.7,,3.92,17.57
194,66,17,2023-01-03,2441.0,,4.9,3.05,15.72
195,44,9,2023-01-03,3909.38,,4.56,3.05,15.91
196,16,8,2023-01-03,3580.9,4.5,4.35,2.83,14.3
197,73,20,2023-01-03,613.37,7.0,4.11,3.2,18.55
198,52,15,2023-01-03,577.02,2.7,4.75,3.17,18.6
199,203,20,2023-01-03,4747.75,4.9,5.29,3.83,16.93
200,228,6,2023-01-03,741.86,4.8,4.27,3.66,17.34
