id_coleta;id_fazenda;id_rota;data_coleta;volume_litros;temperatura_c;gordura_pct;proteina_pct;acidez
4;34;6;01/01/2023;1947.09;9.4;4.38;3.69;15.93
5;100;3;01/01/2023;3657.38;6.6;4.68;3.07;14.28
8;146;11;01/01/2023;-3528.61;2.0;5.12;2.92;15.43
9;108;9;01/01/2023;487.5;2.7;5.24;3.64;19.85
13;45;11;01/01/2023;3545.01;3.2;5.42;2.86;18.92
16;198;3;01/01/2023;3300.74;9.2;;3.35;17.44
22;68;12;01/01/2023;1335.45;;4.75;3.48;15.13
27;102;5;01/01/2023;1672.75;;4.76;3.82;17.4
30;161;14;01/01/2023;3716.41;5.9;4.37;3.38;17.91
33;197;14;01/01/2023;1789.25;7.6;4.82;3.14;14.3
36;180;9;01/01/2023;1973.13;5.5;5.09;2.98;14.58
37;103;19;01/01/2023;4079.26;3.8;3.97;3.96;19.62
39;164;6;01/01/2023;3834.51;9.8;3.32;3.99;19.98
41;206;4;01/01/2023;3020.37;5.3;4.47;3.93;17.38
44;72;16;01/01/2023;1654.66;8.9;5.43;3.16;18.64
45;208;3;01/01/2023;3698.24;3.5;5.06;3.71;18.93
47;21;12;01/01/2023;358.74;7.6;5.06;3.56;14.18
50;220;6;01/01/2023;242.71;;3.63;3.17;17.86
52;84;20;01/01/2023;4229.02;6.9;3.27;3.99;19.17
53;101;10;01/01/2023;3613.25;3.5;3.6;3.83;16.42
57;234;11;01/01/2023;4382.87;5.0;4.16;2.86;17.48
58;165;4;01/01/2023;2466.65;8.9;3.75;3.83;15.2
59;17;15;01/01/2023;2933.14;3.1;3.45;3.2;
63;62;14;01/01/2023;2697.38;9.1;3.86;3.23;19.69
75;169;11;01/01/2023;3674.11;6.2;4.55;3.67;17.98
78;225;16;01/01/2023;2592.59;;;3.46;18.75
81;42;2;01/01/2023;2705.53;9.2;5.05;3.29;15.18
83;118;7;02/01/2023;3744.56;4.4;4.71;3.01;16.26
84;212;19;02/01/2023;2871.67;;4.17;2.85;17.58
88;87;4;02/01/2023;2030.59;5.1;3.71;3.79;18.82
89;28;7;02/01/2023;410.49;4.6;3.24;3.73;17.76
90;194;14;02/01/2023;3221.67;8.7;5.07;3.69;18.9
92;12;11;02/01/2023;2365.4;2.1;4.34;3.54;17.51
97;32;2;02/01/2023;3420.69;8.8;5.49;3.46;14.4
100;244;5;02/01/2023;2293.4;7.4;4.2;3.73;14.65
101;169;5;02/01/2023;593.47;9.1;4.83;3.67;19.1
108;189;5;02/01/2023;3100.21;5.5;4.29;2.98;17.61
110;142;17;02/01/2023;2952.74;2.3;3.14;3.02;17.6
111;111;10;02/01/2023;289.38;9.6;4.52;3.38;16.46
112;233;20;02/01/2023;2996.7;7.3;4.81;3.34;15.38
113;150;17;02/01/2023;721.14;7.5;4.51;3.88;19.27
115;131;16;02/01/2023;3548.69;8.3;4.47;3.71;14.59
117;46;11;02/01/2023;234.53;5.3;4.07;3.11;17.39
118;178;7;02/01/2023;4960.63;5.3;4.21;3.47;15.84
119;149;4;02/01/2023;3586.37;8.0;4.75;3.06;16.03
120;45;6;02/01/2023;3545.88;5.1;5.01;3.37;14.53
122;33;17;02/01/2023;2572.97;;4.5;3.08;14.22
126;154;16;02/01/2023;2325.29;8.2;5.4;3.35;14.16
128;83;11;02/01/2023;646.45;2.6;4.19;3.87;19.68
131;108;16;02/01/2023;4505.6;3.5;4.28;3.7;17.15
133;209;11;02/01/2023;1211.61;4.9;3.47;3.12;16.06
135;71;13;02/01/2023;4059.62;3.6;4.85;2.81;14.81
136;102;11;02/01/2023;3227.13;8.3;4.41;3.28;14.36
138;76;19;02/01/2023;3462.01;6.6;3.44;3.23;16.92
145;132;19;02/01/2023;2391.41;5.5;4.33;3.38;14.54
146;77;1;02/01/2023;2178.58;2.0;5.12;;19.53
150;217;2;02/01/2023;1101.39;;5.43;2.95;14.05
153;52;8;02/01/2023;2047.03;;4.15;3.43;16.84
154;54;2;02/01/2023;1698.12;8.0;3.31;3.16;14.31
159;167;15;02/01/2023;2809.38;4.2;5.29;2.88;15.77
161;129;17;02/01/2023;2786.99;7.5;3.39;3.29;14.58
167;144;15;02/01/2023;959.25;9.5;4.38;3.81;17.8
169;214;17;02/01/2023;4918.19;3.1;3.02;3.06;18.63
171;236;3;02/01/2023;1318.37;6.6;3.54;3.19;16.93
172;137;4;02/01/2023;3573.67;6.8;4.83;2.89;18.63
175;4;13;02/01/2023;632.4;3.2;4.19;3.46;16.39
177;238;19;02/01/2023;3928.51;2.7;4.06;3.18;14.15
179;98;20;02/01/2023;3749.99;9.4;;3.63;
184;69;1;02/01/2023;2551.68;4.8;4.56;3.97;18.87
190;219;9;02/01/2023;3859.75;6.8;4.49;2.83;18.68
191;53;12;02/01/2023;4261.46;3.5;4.18;3.07;19.81
197;203;6;02/01/2023;2185.08;5.6;5.24;2.91;17.89
199;179;6;02/01/2023;2017.66;9.3;4.65;3.84;18.27
201;86;20;02/01/2023;2593.48;9.1;4.47;3.29;17.6
202;208;18;02/01/2023;2827.24;8.6;3.46;3.22;14.19
207;101;20;02/01/2023;3191.57;6.5;4.58;3.02;18.25
208;190;4;02/01/2023;207.59;7.9;4.54;2.85;18.84
211;125;11;02/01/2023;2410.97;5.7;5.32;3.43;18.07
212;54;10;03/01/2023;2698.77;2.2;4.6;3.04;17.19
216;205;18;03/01/2023;3621.91;2.6;4.91;2.91;18.19
220;91;11;03/01/2023;4874.68;3.7;4.08;3.48;18.16
229;137;1;03/01/2023;1283.56;6.6;3.59;3.29;16.2
232;147;1;03/01/2023;453.32;5.8;4.17;3.31;18.79
240;79;8;03/01/2023;3340.85;7.9;3.49;3.63;17.29
241;181;4;03/01/2023;4192.11;6.2;3.88;;
245;70;7;03/01/2023;1054.06;6.9;4.23;3.72;17.86
246;106;3;03/01/2023;3633.92;2.6;;3.4;
252;78;11;03/01/2023;278.81;;3.3;3.6;18.07
256;45;2;03/01/2023;4214.85;6.7;3.3;3.3;17.32
259;10;2;03/01/2023;4702.83;6.8;4.53;3.79;16.51
260;52;4;03/01/2023;1121.13;7.0;5.47;3.36;
262;114;4;03/01/2023;4472.38;7.9;3.44;3.38;19.37
265;124;7;03/01/2023;3233.7;;4.42;2.93;16.51
268;49;19;03/01/2023;4651.9;9.2;3.11;3.68;16.55
271;203;12;03/01/2023;3575.05;7.0;3.0;3.26;17.19
288;221;12;03/01/2023;1989.59;4.5;4.4;3.87;16.49
292;170;10;03/01/2023;3997.85;9.6;4.18;3.87;16.95
300;67;10;04/01/2023;2579.92;;3.82;3.14;15.87
301;42;10;04/01/2023;2330.99;9.9;5.14;3.76;
302;149;13;04/01/2023;3435.96;5.5;3.21;3.28;14.61
304;38;13;04/01/2023;2993.21;4.8;5.38;3.41;16.73
305;82;5;04/01/2023;2548.84;2.2;5.08;2.83;17.63
308;178;10;04/01/2023;357.73;9.1;4.08;3.27;17.41
309;35;16;04/01/2023;2858.16;5.8;4.27;3.39;17.7
310;92;1;04/01/2023;4893.36;6.7;3.92;3.5;17.75
311;238;14;04/01/2023;2255.11;4.8;3.62;3.51;14.39
314;93;14;04/01/2023;3151.17;3.6;5.44;3.82;15.59
315;108;20;04/01/2023;2952.9;7.9;5.11;3.2;18.81
321;136;6;04/01/2023;4056.98;;4.81;2.87;15.88
332;193;11;04/01/2023;4265.41;5.6;3.33;3.51;15.69
338;78;20;04/01/2023;3624.01;4.0;3.15;3.08;19.98
342;177;16;04/01/2023;4484.82;8.1;5.13;3.76;14.89
343;232;15;04/01/2023;372.14;5.5;;3.23;16.91
344;209;4;04/01/2023;4260.02;4.8;3.71;3.7;17.38
345;137;1;04/01/2023;1219.5;6.2;4.04;3.72;
346;237;13;04/01/2023;3470.3;5.0;3.27;2.83;18.25
347;91;1;04/01/2023;3216.11;;4.56;3.94;19.44
348;37;10;04/01/2023;820.74;;3.18;3.26;15.07
349;4;7;04/01/2023;4354.47;3.3;3.71;3.58;16.95
358;27;1;04/01/2023;266.6;7.6;3.07;2.97;19.05
360;40;10;04/01/2023;2357.68;6.6;;3.56;19.88
363;49;1;04/01/2023;1864.47;3.3;4.17;3.41;18.11
365;158;20;04/01/2023;4038.82;3.7;3.22;3.01;16.95
366;135;8;04/01/2023;4726.66;;3.05;3.23;18.97
367;194;14;04/01/2023;353.46;2.9;4.4;3.99;18.62
373;170;3;04/01/2023;247.75;2.7;5.45;2.87;17.96
378;80;17;04/01/2023;3915.96;;3.93;;17.91
379;210;15;04/01/2023;1630.21;4.7;4.86;3.66;17.99
380;189;19;04/01/2023;1322.42;7.4;4.3;3.19;18.94
390;166;16;05/01/2023;1003.43;4.2;4.7;3.81;19.04
392;165;11;05/01/2023;4795.6;7.1;4.77;3.59;15.26
393;245;5;05/01/2023;1776.59;;4.19;3.61;19.37
395;50;1;05/01/2023;2056.4;3.0;;3.69;18.08
399;194;20;05/01/2023;4855.09;4.0;4.13;3.57;14.31
400;14;9;05/01/2023;2276.23;3.0;4.24;2.85;14.28
402;134;10;05/01/2023;1399.92;2.5;3.07;2.83;19.61
403;49;11;05/01/2023;1386.34;8.7;4.3;2.89;16.63
404;193;2;05/01/2023;2342.99;9.3;5.23;3.74;
405;122;4;05/01/2023;3131.55;7.4;3.74;2.91;15.4
406;129;13;05/01/2023;3366.68;5.7;4.55;3.58;14.16
411;47;19;05/01/2023;2443.53;6.5;3.75;2.93;19.46
412;227;8;05/01/2023;4615.78;5.7;4.2;3.78;16.26
413;71;1;05/01/2023;-4165.2;;3.29;3.03;
415;53;5;05/01/2023;685.71;5.0;3.28;3.17;18.86
419;215;17;05/01/2023;3806.28;5.0;3.45;3.43;19.73
420;149;19;05/01/2023;2989.7;7.2;5.24;3.08;16.55
421;114;9;05/01/2023;954.6;6.4;3.21;3.22;16.79
424;224;9;05/01/2023;1780.36;3.5;3.34;3.66;15.57
426;83;7;05/01/2023;1292.38;5.8;4.96;3.67;18.75
428;151;11;05/01/2023;4089.93;3.8;4.88;3.63;17.52
430;126;11;05/01/2023;2054.88;6.6;5.24;2.93;14.19
431;6;3;05/01/2023;2545.34;9.3;3.51;3.43;
435;107;10;05/01/2023;4428.77;5.1;5.12;3.02;16.59
439;98;4;05/01/2023;2104.04;7.7;4.68;3.35;17.94
441;24;5;05/01/2023;3865.23;5.5;4.79;3.44;14.29
446;74;7;05/01/2023;3194.77;5.3;4.25;3.66;19.53
453;105;6;05/01/2023;4703.72;6.7;5.33;2.89;15.87
457;158;7;05/01/2023;1799.52;3.2;3.03;3.67;19.55
458;84;16;05/01/2023;4858.36;4.5;3.18;3.99;19.59
462;77;10;05/01/2023;4182.8;6.0;5.22;3.68;19.55
463;100;12;05/01/2023;724.52;8.5;3.52;;15.01
464;191;14;05/01/2023;664.98;6.2;4.83;3.25;15.19
467;106;1;05/01/2023;245.63;7.3;3.1;3.75;17.12
477;61;14;05/01/2023;3282.09;8.5;3.29;2.91;19.62
483;69;18;05/01/2023;4272.89;5.1;4.18;3.27;18.36
484;178;18;05/01/2023;4630.71;5.2;4.88;3.77;18.26
487;142;11;05/01/2023;763.26;6.7;4.57;2.84;16.93
491;8;1;05/01/2023;2780.05;5.2;4.96;2.88;17.23
493;60;6;05/01/2023;818.32;2.7;4.88;2.95;19.8
496;170;18;05/01/2023;1233.02;3.7;3.32;2.89;16.29
499;78;18;05/01/2023;798.18;5.3;3.22;3.73;18.79
502;212;20;05/01/2023;4846.4;9.1;4.48;3.62;17.95
509;35;9;06/01/2023;1397.44;10.0;5.05;3.65;18.21
514;127;12;06/01/2023;4337.48;7.9;4.51;3.13;14.52
515;98;2;06/01/2023;3221.88;6.7;4.64;3.65;14.45
518;29;5;06/01/2023;3075.94;4.3;3.15;3.03;16.97
521;64;2;06/01/2023;418.94;7.1;3.69;3.85;19.88
524;218;13;06/01/2023;3946.46;9.6;4.57;3.05;15.95
527;31;15;06/01/2023;888.91;9.3;3.25;3.67;17.62
534;1;3;06/01/2023;4677.83;8.3;5.45;2.98;16.68
535;189;4;06/01/2023;4886.43;6.6;3.7;3.99;16.31
541;165;19;06/01/2023;579.17;8.6;4.91;2.97;19.69
542;243;1;06/01/2023;3668.28;4.3;;3.7;14.07
544;119;7;06/01/2023;2012.29;;3.98;3.97;14.46
549;2;1;06/01/2023;2610.45;6.7;4.47;3.15;16.78
551;118;5;06/01/2023;4665.09;4.7;5.14;3.87;16.33
552;85;5;06/01/2023;3129.86;6.5;;3.72;19.21
553;224;15;06/01/2023;4496.65;4.5;3.4;3.24;15.08
557;90;15;06/01/2023;550.3;7.4;4.17;3.78;15.08
560;103;7;06/01/2023;4897.09;8.9;4.71;3.56;14.42
565;126;15;06/01/2023;4727.95;7.1;3.09;3.03;18.65
574;228;11;06/01/2023;4891.31;6.1;3.25;3.41;18.71
576;169;19;06/01/2023;2809.63;5.1;3.33;3.56;15.44
579;121;16;06/01/2023;4223.92;8.4;4.22;3.05;19.34
586;138;17;06/01/2023;2167.08;;3.45;3.75;14.44
591;42;2;06/01/2023;4499.98;;4.17;3.3;15.9
592;36;16;06/01/2023;582.88;6.9;4.74;3.82;14.73
595;179;13;06/01/2023;1780.78;4.2;3.34;2.95;18.52
608;156;17;06/01/2023;4953.98;6.0;4.94;3.76;16.94
609;123;9;06/01/2023;2819.43;;3.88;3.87;19.14
619;100;4;06/01/2023;3955.55;3.1;3.78;3.66;16.57
623;6;7;06/01/2023;3748.94;6.1;5.42;3.87;14.93
624;167;16;06/01/2023;3651.88;7.0;3.17;3.86;15.48
625;178;13;06/01/2023;318.35;2.4;4.01;3.78;17.28
627;176;10;06/01/2023;1161.68;7.3;4.23;3.27;14.64
629;99;15;06/01/2023;1902.69;4.2;3.89;3.4;18.24
632;7;12;06/01/2023;1755.57;6.7;;3.68;17.99
635;17;5;07/01/2023;586.85;;3.09;3.58;15.82
636;16;2;07/01/2023;4863.04;2.2;3.49;3.26;14.11
639;30;2;07/01/2023;4391.63;2.6;;3.22;15.47
642;192;20;07/01/2023;4522.04;5.9;5.28;3.43;17.32
652;83;2;07/01/2023;3348.7;3.5;4.1;3.46;19.71
653;28;12;07/01/2023;4881.36;;3.59;3.41;14.46
656;97;17;07/01/2023;2651.82;8.3;5.35;3.5;14.9
