collection_id,farm_id,route_id,collection_date,collected_liters,temperature_c,fat_pct,protein_pct,acidity
3,82,4,01-01-2023,"1001,03","9,2","3,29","2,8",
6,221,10,01-01-2023,"4409,56","4,6","3,02","3,48","17,74"
10,94,13,01-01-2023,"658,77","2,6","4,09","3,08","15,89"
12,175,12,01-01-2023,"1707,36","9,7","3,77","2,94","18,12"
14,196,18,01-01-2023,"4770,06","8,0","4,16",,"18,98"
20,18,9,01-01-2023,"1730,61","2,5","4,32","4,0","14,6"
21,4,2,01-01-2023,"1479,33","8,1","4,44","3,27","19,95"
26,203,11,01-01-2023,"3268,48","3,4","4,73","3,74","17,53"
29,74,11,01-01-2023,"4449,54","5,6","3,62","3,11","14,01"
34,107,12,01-01-2023,"4231,3","2,0","5,06","3,38","15,24"
35,109,4,01-01-2023,"4889,88","4,5","4,22","2,91","15,11"
38,22,13,01-01-2023,"1331,08","9,2","4,26","3,76","17,72"
43,40,13,01-01-2023,"3467,9","9,1","3,59","3,91","14,12"
48,131,16,01-01-2023,"3051,41","6,7","3,41","3,7","15,71"
49,53,7,01-01-2023,"981,96","8,9","4,69",,"18,68"
55,163,18,01-01-2023,"3687,44","7,1","5,35","3,16","17,95"
56,167,9,01-01-2023,"1610,16","7,8","5,28","3,88","15,33"
60,200,6,01-01-2023,"2369,86","6,6","4,96","2,96","16,58"
62,112,12,01-01-2023,"1394,35","4,5","4,26",,"19,69"
64,15,5,01-01-2023,"2136,28",,"4,26","3,65","16,25"
66,23,1,01-01-2023,"2477,1","4,4","4,66","3,53","18,98"
67,184,4,01-01-2023,"3650,08","8,3","4,52","3,8","16,15"
68,30,7,01-01-2023,"969,79","7,5",,"2,91","17,44"
74,171,4,01-01-2023,"827,15","9,1","3,16","2,81","17,15"
77,31,2,01-01-2023,"1356,28","6,1","3,95","2,89","17,44"
80,3,12,01-01-2023,"3174,84","7,7","4,9","3,21","19,79"
85,201,10,01-02-2023,"3201,76","5,9","3,9","3,18","15,1"
86,49,18,01-02-2023,"2624,67","5,2","5,21","3,2","19,7"
