COLETA ID,ID FAZENDA,ID ROTA,DATA,VOLUME,TEMPERATURA,GORDURA,PROTEINA,ACIDEZ,OBSERVACAO
1,93,17,2023-01-01,2582.78,8.3,3.42,3.74,19.32,Revisar valor
2,240,9,2023-01-01,340.91,6.2,5.44,3.4,14.33,Revisar valor
7,215,7,01/01/2023,3040.12,7.9,4.99,,17.25,Revisar valor
11,140,11,01/01/2023,3563.48,5.6,5.36,3.72,14.63,
15,121,12,01/01/2023,827.43,7.5,3.21,3.9,19.98,Revisar valor
17,19,14,2023-01-01,2095.99,3.4,3.47,,17.72,Digitado manual
18,5,18,01/01/2023,1616.5,5.8,3.96,3.57,15.49,
19,151,13,01/01/2023,2809.55,8.3,4.36,3.9,16.33,Digitado manual
23,56,10,01/01/2023,4431.81,,3.14,2.82,15.99,Revisar valor
24,11,6,2023-01-01,4070.94,9.4,,3.5,18.65,
25,16,12,01/01/2023,4331.21,7.6,4.47,3.19,18.39,Digitado manual
28,130,20,01/01/2023,1727.44,3.8,5.34,3.69,19.89,
31,183,2,2023-01-01,980.75,4.4,5.38,3.0,18.39,
32,129,20,2023-01-01,4511.0,9.9,4.76,3.58,,Revisar valor
40,138,3,01/01/2023,4203.72,2.7,4.38,3.42,14.07,Revisar valor
42,158,12,01/01/2023,1573.25,9.0,4.64,3.37,16.42,Digitado manual
46,80,17,2023-01-01,963.07,5.2,4.31,3.01,,Digitado manual
51,205,9,2023-01-01,2007.08,3.7,4.3,,20.0,Revisar valor
54,227,16,01/01/2023,871.66,10.0,4.05,2.84,17.43,Revisar valor
61,179,18,01/01/2023,-2491.52,3.6,3.04,3.8,18.06,
65,63,20,01/01/2023,3902.0,10.0,,3.63,16.28,Revisar valor
69,117,3,01/01/2023,4757.34,7.8,3.64,3.99,16.79,Digitado manual
70,157,10,01/01/2023,1038.57,4.9,4.06,3.82,14.06,
71,156,15,2023-01-01,3306.55,9.6,4.83,3.21,16.4,
72,182,16,2023-01-01,4211.4,8.4,4.99,3.64,19.65,
73,186,19,2023-01-01,2196.93,7.4,3.95,2.83,19.03,Revisar valor
