id_entrega,id_pedido,id_rota,data_prevista,data_realizada,status_entrega,km_percorrido,custo_frete,ocorrencia
1,2417,2,2023-06-22,2023-07-02,Entregue,34.0,1548.95,Sem ocorrência
2,1889,13,2023-12-12,,Devolvido,189.3,298.93,
3,1540,7,2024-12-14,2024-12-18,pendente,372.8,2143.79,
4,395,1,2024-12-20,2024-12-22,Pendente,196.9,974.3,
5,481,15,2023-09-21,2023-09-30,Entregue,332.0,720.72,Recusa
6,4723,6,2024-09-01,2024-09-10,Entregue,31.1,2008.63,Avaria
7,4756,2,2024-11-24,2024-12-02,Pendente,69.2,1541.55,
8,3975,12,2023-05-20,26/05/2023,Pendente,317.1,711.71,Avaria
9,4735,20,2023-05-25,2023-06-04,PENDENTE,21.9,2163.98,
10,2122,19,2024-08-14,2024-08-20,Entregue,234.7,2364.43,Avaria
11,132,13,2024-04-27,2024-05-07,Pendente,245.3,1062.32,Atraso
12,779,11,2023-08-21,2023-08-23,Entregue,154.2,2104.95,
13,3846,3,2023-10-15,2023-10-19,Entregue,34.5,1747.7,Atraso
14,1231,6,2024-12-06,2024-12-14,Devolvido,252.5,1413.5,Avaria
15,3258,19,2023-02-18,2023-02-17,Entregue,37.0,345.55,
16,3819,9,2024-04-10,2024-04-08,Entregue,352.1,1069.97,
17,2069,4,2023-11-11,10/11/2023,Devolvido,23.4,84.0,
18,2982,16,2023-04-15,2023-04-24,Pendente,330.3,255.86,
19,2491,7,2023-05-22,2023-05-28,Devolvido,106.6,891.34,
20,4295,18,2024-09-07,2024-09-14,Entregue,119.2,1129.05,Atraso
21,3644,20,2023-07-30,2023-07-30,Entregue,169.7,2402.62,
22,1642,17,2024-10-13,2024-10-13,Entregue,313.8,544.12,
23,3589,18,2024-04-29,2024-04-29,Entregue,406.6,264.61,Atraso
24,4935,8,2024-02-17,2024-02-27,Entregue,310.7,1596.42,
25,822,13,2024-08-16,2024-08-23,Devolvido,,525.9,Sem ocorrência
26,4536,15,2023-08-07,2023-08-12,Devolvido,212.5,1536.0,Recusa
27,1216,14,2024-11-07,2024-11-15,DEVOLVIDO,,1261.46,Avaria
28,3695,18,2024-03-30,2024-04-06,Pendente,174.2,408.14,Avaria
29,1152,19,2024-06-13,2024-06-19,Entregue,310.3,1968.22,Recusa
30,3700,11,2023-09-12,2023-09-16,Entregue,355.6,590.12,Recusa
31,1619,4,2024-07-31,2024-07-29,Entregue,412.9,,
32,3887,9,2023-06-19,2023-06-25,Pendente,,228.8,Sem ocorrência
33,1397,3,2023-03-07,2023-03-12,Pendente,53.1,1783.6,
