id_item,id_pedido,id_produto,quantidade,preco_unitario,valor_total
1,1,22,1,62.32,62.32
2,1,13,345,35.51,12250.95
3,1,28,77,45.51,3504.27
4,2,13,350,72.14,25249.0
5,2,5,239,11.2,2676.8
6,2,14,122,21.33,2602.26
7,3,11,210,27.82,5842.2
8,3,21,61,31.89,1945.29
9,3,26,135,49.23,6646.05
10,3,7,355,32.01,11363.55
11,4,25,423,16.22,6861.06
12,5,24,96,60.7,5827.2
13,5,20,300,31.07,9321.0
14,5,4,73,5.36,391.28
15,5,30,359,9.76,3503.84
16,6,1,449,68.52,30765.48
17,7,16,7,30.89,216.23
18,7,28,247,74.63,18433.61
19,7,13,87,30.9,2688.3
20,7,27,159,77.99,12400.41
21,7,7,16,9.71,155.36
22,7,8,138,46.85,6465.3
23,8,3,372,20.94,7789.68
24,8,23,248,14.43,3578.64
25,8,13,220,49.41,10870.2
26,8,19,167,12.86,2147.62
27,9,16,332,35.64,11832.48
28,9,13,306,22.81,6979.86
29,10,14,35,21.55,754.25
30,10,30,194,4.09,793.46
31,10,15,233,40.48,9431.84
32,10,19,118,11.87,1400.66
33,10,9,447,73.79,32984.13
34,10,1,209,13.34,2788.06
35,11,13,339,22.56,7647.84
36,11,5,165,13.12,2164.8
37,11,23,359,79.82,28655.38
38,11,30,358,41.47,14846.26
39,11,19,263,72.06,18951.78
40,11,24,66,58.46,3858.36
41,12,13,99,72.22,7149.78
42,13,24,171,72.41,12382.11
43,13,28,7,60.38,422.66
44,13,6,38,54.19,2059.22
45,13,2,454,12.71,5770.34
46,13,25,81,14.95,1210.95
47,14,8,440,68.17,29994.8
48,14,24,62,24.21,1501.02
49,14,16,305,3.8,1159.0
50,14,5,30,14.43,432.9
51,14,3,89,63.73,5671.97
52,14,12,257,34.86,8959.02
53,15,7,410,22.92,9397.2
54,15,23,114,77.81,8870.34
55,15,26,324,9.82,3181.68
56,15,28,450,25.13,11308.5
57,15,19,307,43.19,13259.33
58,16,24,378,48.43,18306.54
59,16,20,199,46.29,9211.71
60,16,23,109,29.42,3206.78
61,16,26,140,16.3,2282.0
62,16,28,118,38.49,4541.82
63,17,17,478,15.86,7581.08
64,17,23,267,33.66,8987.22
65,17,14,374,12.16,4547.84
66,17,27,493,15.67,7725.31
67,18,25,196,54.67,10715.32
68,18,15,464,38.7,17956.8
69,19,27,109,78.52,8558.68
70,19,19,475,68.31,32447.25
71,19,22,456,36.8,16780.8
72,20,2,341,73.66,25118.06
73,20,25,321,62.57,20084.97
74,20,9,49,60.52,2965.48
75,20,6,168,70.65,11869.2
76,20,20,87,35.63,3099.81
77,20,12,168,75.93,12756.24
78,21,5,405,13.59,5503.95
79,21,11,314,53.02,16648.28
80,21,4,50,65.36,3268.0
81,21,24,332,15.47,5136.04
82,21,7,352,35.24,12404.48
83,22,18,216,14.34,3097.44
84,22,10,373,8.21,3062.33
85,22,9,499,52.91,26402.09
86,22,22,71,40.99,2910.29
87,22,24,437,66.71,29152.27
88,22,11,205,45.55,9337.75
89,23,1,232,3.79,879.28
90,23,19,226,78.71,17788.46
91,23,16,409,28.59,11693.31
92,23,9,494,46.02,22733.88
93,24,9,303,74.38,22537.14
94,24,7,27,45.82,1237.14
95,25,10,398,48.67,19370.66
96,25,2,402,28.44,11432.88
97,25,5,323,59.75,19299.25
98,26,11,40,39.41,1576.4
99,26,7,301,53.73,16172.73
100,26,28,482,6.36,3065.52
101,27,24,78,38.46,2999.88
102,27,6,330,65.52,21621.6
103,27,27,167,31.37,5238.79
104,27,30,229,14.33,3281.57
105,27,7,145,56.56,8201.2
106,27,13,333,56.84,18927.72
107,28,3,370,18.42,6815.4
108,29,19,93,76.95,7156.35
109,29,15,95,64.86,6161.7
110,29,16,18,36.78,662.04
111,29,30,235,30.03,7057.05
112,30,2,262,48.16,12617.92
113,30,4,341,14.88,5074.08
114,30,3,72,66.9,4816.8
115,30,13,118,21.11,2490.98
116,30,24,498,48.52,24162.96
117,30,22,359,26.79,9617.61
118,31,28,410,55.8,
119,31,1,75,23.08,
120,31,16,18,71.6,
121,31,3,55,59.48,3271.4
122,31,4,322,70.51,22704.22
123,31,27,12,17.55,210.6
124,32,27,262,13.84,3626.08
125,32,17,261,28.5,7438.5
126,32,15,346,41.61,14397.06
127,32,1,134,76.99,10316.66
128,33,30,219,29.33,6423.27
129,33,19,195,51.96,10132.2
130,33,21,108,40.47,4370.76
131,34,28,108,38.89,4200.12
132,34,19,469,51.58,24191.02
133,34,17,94,47.73,4486.62
134,34,10,453,16.08,7284.24
135,35,28,475,42.14,20016.5
136,35,23,129,49.22,6349.38
137,35,12,378,40.07,15146.46
138,36,1,399,68.85,27471.15
139,36,15,117,74.09,8668.53
140,36,23,435,35.84,15590.4
141,36,9,28,20.53,574.84
142,36,14,81,7.74,626.94
143,37,7,302,27.76,8383.52
144,37,26,387,46.65,18053.55
145,37,22,16,45.49,727.84
146,37,4,199,28.18,5607.82
147,37,19,158,4.81,759.98
148,38,8,228,65.17,14858.76
149,39,28,343,64.57,22147.51
150,39,27,93,39.63,3685.59
151,39,18,32,65.44,2094.08
152,39,6,109,55.37,6035.33
153,40,15,14,78.49,1098.86
154,40,2,148,12.14,1796.72
155,41,6,191,6.04,1153.64
156,41,2,43,75.43,
157,41,3,197,6.2,1221.4
158,42,26,306,72.24,22105.44
159,42,3,144,66.58,9587.52
160,42,4,283,51.81,14662.23
161,42,6,32,28.03,896.96
162,42,13,195,46.94,9153.3
163,43,17,151,49.24,7435.24
164,43,16,181,43.49,7871.69
165,43,10,484,50.56,24471.04
166,43,20,388,28.52,11065.76
167,43,7,490,48.12,23578.8
168,43,29,333,14.39,4791.87
169,44,13,139,52.43,7287.77
170,44,25,360,22.51,8103.6
171,44,4,20,26.32,526.4
172,44,11,397,5.4,2143.8
173,44,17,68,65.5,4454.0
174,44,24,53,26.77,1418.81
175,45,29,67,56.21,3766.07
176,45,21,15,10.58,158.7
177,45,19,437,45.29,19791.73
178,45,8,181,65.56,11866.36
179,45,25,457,21.38,9770.66
180,45,30,324,22.23,7202.52
181,46,30,123,21.97,2702.31
182,46,13,431,78.49,33829.19
183,46,1,259,31.84,8246.56
184,47,7,482,61.52,29652.64
185,48,16,241,15.69,3781.29
186,48,8,308,39.02,12018.16
187,48,11,243,5.03,1222.29
188,48,10,413,44.31,18300.03
189,48,23,431,11.84,5103.04
190,49,8,152,52.99,8054.48
191,49,1,83,66.79,5543.57
192,49,28,309,47.68,14733.12
193,49,24,59,16.89,996.51
194,49,20,230,45.78,10529.4
195,49,3,270,9.08,2451.6
196,50,24,418,11.18,4673.24
197,50,6,285,66.33,18904.05
198,50,20,38,48.3,1835.4
199,50,30,445,34.12,15183.4
200,51,25,6,61.5,369.0
201,51,20,204,10.73,2188.92
202,51,2,75,21.38,1603.5
203,51,17,201,18.6,3738.6
204,52,21,110,52.87,5815.7
205,52,27,365,61.58,22476.7
206,52,20,5,65.85,329.25
207,52,28,302,37.96,11463.92
208,52,26,136,35.34,4806.24
209,52,17,371,39.76,14750.96
210,53,14,476,6.87,3270.12
211,53,10,383,33.07,12665.81
212,53,5,246,65.28,16058.88
213,53,29,378,22.22,8399.16
214,53,24,304,27.95,8496.8
215,54,13,227,12.75,2894.25
216,54,17,143,6.13,876.59
217,54,10,303,24.67,7475.01
218,55,22,415,36.46,15130.9
219,55,20,472,78.38,36995.36
220,55,5,461,28.96,13350.56
221,56,21,337,17.62,5937.94
222,56,27,29,57.39,1664.31
223,57,2,103,7.15,736.45
224,57,21,52,16.72,869.44
225,58,25,489,69.09,33785.01
226,59,7,473,18.44,8722.12
227,59,9,277,24.07,6667.39
228,59,19,470,10.13,4761.1
229,60,5,146,46.89,6845.94
230,60,2,403,79.16,31901.48
231,60,22,11,41.01,451.11
232,60,4,170,49.37,8392.9
233,60,29,370,61.11,22610.7
234,60,20,54,41.56,2244.24
235,61,8,126,19.7,2482.2
236,61,19,491,52.99,26018.09
237,61,20,339,59.86,20292.54
238,61,27,6,11.65,69.9
239,62,2,143,77.19,11038.17
240,62,14,430,17.22,7404.6
241,63,20,7,19.04,133.28
242,63,30,404,60.87,24591.48
243,63,11,473,51.5,24359.5
244,63,10,65,12.54,815.1
245,63,2,384,66.7,25612.8
246,64,28,407,34.35,13980.45
247,64,10,452,78.02,35265.04
248,64,23,36,39.7,1429.2
249,64,19,127,45.73,5807.71
250,64,26,220,51.34,11294.8
251,64,17,351,75.82,26612.82
252,65,16,202,7.56,1527.12
253,65,25,80,26.17,2093.6
254,65,24,474,62.21,29487.54
255,65,26,247,70.09,17312.23
256,65,12,400,8.77,3508.0
257,65,6,45,14.43,649.35
258,66,9,462,24.81,11462.22
259,66,27,125,13.64,1705.0
260,67,6,308,58.46,18005.68
261,67,26,247,67.29,16620.63
262,67,28,319,46.71,14900.49
263,67,10,126,57.45,7238.7
264,68,20,27,59.61,
265,69,8,64,72.02,4609.28
266,70,7,361,27.47,9916.67
267,71,12,45,20.79,935.55
268,71,27,140,78.49,10988.6
269,71,8,113,15.89,1795.57
270,71,7,369,7.3,2693.7
271,71,23,204,62.23,12694.92
272,72,8,264,15.72,4150.08
273,72,17,162,60.3,9768.6
274,72,2,74,71.63,5300.62
275,73,3,239,12.84,
276,73,24,75,62.37,4677.75
277,73,20,234,49.56,11597.04
278,74,21,41,76.2,3124.2
279,74,24,23,-67.76,1558.48
280,74,10,154,65.94,10154.76
281,74,28,350,31.5,11025.0
282,74,6,130,5.42,704.6
283,75,11,156,33.19,5177.64
284,75,23,12,19.84,238.08
285,75,17,423,67.04,28357.92
286,75,30,307,3.01,924.07
287,75,1,317,25.87,8200.79
288,75,3,94,50.64,4760.16
289,76,12,66,25.0,1650.0
290,77,14,336,73.66,24749.76
291,77,5,270,64.58,17436.6
292,77,28,128,7.88,1008.64
293,77,21,126,26.99,
294,78,9,19,72.75,1382.25
295,78,24,250,41.33,10332.5
296,79,13,234,33.68,7881.12
297,79,21,226,67.89,15343.14
298,79,9,89,49.53,4408.17
299,79,19,365,37.11,13545.15
300,79,20,366,26.87,9834.42
301,80,13,175,68.4,11970.0
302,81,10,446,39.0,17394.0
303,81,18,54,40.5,2187.0
304,81,29,102,76.4,7792.8
305,81,13,109,37.34,4070.06
306,81,27,282,27.7,7811.4
307,81,20,125,61.41,7676.25
308,82,28,38,46.5,1767.0
309,82,7,413,28.82,11902.66
310,82,3,221,3.39,749.19
311,82,15,2,5.87,11.74
312,82,30,146,16.31,2381.26
313,82,20,286,61.42,17566.12
314,83,28,70,68.7,4809.0
315,83,3,323,8.8,2842.4
316,83,13,249,7.07,1760.43
317,84,17,32,8.48,271.36
318,84,8,143,67.6,9666.8
319,84,10,419,36.58,15327.02
320,84,7,72,60.01,4320.72
321,84,15,435,78.17,34003.95
322,85,8,58,59.06,3425.48
323,85,18,286,44.98,
324,85,5,16,20.07,321.12
325,85,11,191,30.34,5794.94
326,86,24,447,28.38,12685.86
327,86,7,174,74.95,13041.3
328,86,5,389,49.02,19068.78
329,87,12,399,36.16,14427.84
330,87,7,115,31.38,
331,87,5,269,68.84,18517.96
332,87,15,476,35.18,16745.68
333,87,10,146,43.14,6298.44
334,88,10,206,39.06,8046.36
335,88,20,340,45.83,15582.2
336,88,24,458,38.47,17619.26
337,88,3,401,38.28,15350.28
338,88,17,257,20.56,5283.92
339,88,15,120,16.53,1983.6
340,89,8,434,52.3,22698.2
341,89,29,415,15.27,6337.05
342,89,26,155,73.36,11370.8
343,90,25,31,47.3,1466.3
344,90,11,239,21.81,5212.59
345,90,2,268,44.69,11976.92
346,90,29,349,79.84,27864.16
347,90,4,60,28.8,1728.0
348,90,16,136,69.51,9453.36
349,91,1,380,73.52,27937.6
350,91,19,386,64.74,24989.64
351,91,9,435,54.33,23633.55
352,91,11,173,37.28,6449.44
353,91,13,212,42.86,9086.32
354,92,2,189,14.07,2659.23
355,92,15,190,3.1,589.0
356,92,11,393,45.2,17763.6
357,93,12,302,77.9,23525.8
358,93,3,302,22.87,
359,93,30,270,10.55,2848.5
360,94,25,185,28.85,5337.25
361,95,26,229,13.87,3176.23
362,95,1,220,17.84,3924.8
363,95,19,333,11.95,3979.35
364,96,21,145,25.96,3764.2
365,96,1,276,36.29,10016.04
366,97,30,295,-54.57,16098.15
367,97,25,29,32.85,952.65
368,97,11,125,79.21,9901.25
369,98,28,347,11.33,3931.51
370,98,5,58,67.8,3932.4
371,98,25,16,58.19,931.04
372,99,10,13,67.13,872.69
373,99,13,217,25.77,5592.09
374,99,21,355,51.87,18413.85
375,100,20,371,23.13,8581.23
376,100,25,417,42.12,17564.04
