id_pedido,id_cliente,data_pedido,status,canal,desconto_pct
1,99,2024-02-08,Entregue,Representante,12.06
2,174,2024-03-24,ENTREGUE,representante,0.37
3,164,2024-11-04,Cancelado,E-commerce,4.94
4,110,2023-08-23,Em separação,Direto,2.46
5,196,2023-12-27,Em separação,Representante,1.77
6,34,2023-03-29,Cancelado,Representante,10.13
7,1,2024-09-09,Entregue,E-commerce,4.34
8,82,2023-02-03,entregue,Representante,3.99
9,113,26/03/2024,Entregue,REPRESENTANTE,12.76
10,173,2023-03-15,entregue,Representante,
11,135,2023-07-31,Cancelado,Representante,12.26
12,102,2024-12-29,Em separação,E-commerce,
13,7,2023-07-15,Entregue,Direto,6.06
14,61,2023-11-22,Em separação,Representante,12.07
15,133,2023-09-27,EM SEPARAÇÃO,E-commerce,9.45
16,97,2023-12-20,Entregue,E-commerce,
17,21,24/06/2023,Entregue,Representante,11.08
18,116,2024-10-31,Entregue,Direto,
19,121,2023-03-02,Faturado,E-commerce,
20,160,2024-04-04,Faturado,Representante,3.48
21,177,2024-12-24,Entregue,E-commerce,10.41
22,129,09/03/2024,Em separação,E-commerce,4.25
23,19,2023-01-12,Cancelado,E-commerce,13.33
24,170,2024-09-14,entregue,E-commerce,6.35
25,176,2023-01-02,Faturado,E-COMMERCE,
26,42,2024-12-05,entregue,Direto,4.55
27,93,2024-03-22,Faturado,Representante,12.26
28,24,2023-02-26,faturado,Direto,11.51
29,24,2024-03-20,Entregue,E-COMMERCE,0.99
30,115,2023-07-02,Faturado,Representante,14.29
31,199,2024-10-08,entregue,E-commerce,
32,174,2024-01-11,Entregue,Representante,0.78
33,18,2024-11-07,Entregue,Representante,13.13
34,178,2023-05-10,Cancelado,DIRETO,4.61
35,32,2024-05-25,Em separação,Representante,
36,134,2024-03-16,Faturado,Direto,5.21
37,192,2023-03-27,Entregue,E-commerce,6.6
38,120,2024-07-06,Entregue,Direto,14.32
39,136,25/01/2024,entregue,Direto,9.92
40,150,2023-05-09,em separação,Direto,1.96
41,70,2023-06-11,Cancelado,Direto,9.99
42,121,31/03/2023,EM SEPARAÇÃO,REPRESENTANTE,13.99
43,5,2024-09-12,Entregue,Representante,1.52
44,51,2023-02-10,CANCELADO,E-Commerce,6.15
45,62,2024-09-27,FATURADO,E-commerce,0.2
46,76,2023-12-22,Entregue,E-commerce,5.89
47,158,2024-08-13,FATURADO,Direto,12.42
48,63,2024-12-28,Em separação,Representante,5.01
49,120,2024-04-10,Entregue,E-commerce,13.69
50,141,2023-05-03,Cancelado,Representante,11.67
51,77,2023-06-11,Em separação,E-commerce,5.09
52,63,01/04/2024,Cancelado,E-commerce,13.91
53,167,2024-12-13,Entregue,representante,14.94
54,199,2023-12-19,CANCELADO,Direto,4.58
55,127,2024-05-19,Em separação,E-commerce,10.09
56,162,2023-11-26,Faturado,Representante,8.05
57,57,2023-08-24,Entregue,e-commerce,
58,197,2023-11-16,Entregue,Direto,8.29
59,153,2024-02-01,Faturado,representante,
60,130,2024-10-20,Faturado,Representante,8.54
61,115,2023-10-23,Em separação,e-commerce,3.13
62,194,2023-11-05,Cancelado,Representante,2.26
63,115,2024-05-16,Entregue,Representante,
64,93,2024-09-20,faturado,E-commerce,5.4
65,48,2024-05-31,Faturado,direto,
66,22,2023-05-29,Entregue,E-commerce,7.05
67,154,2024-03-20,Entregue,Direto,14.01
68,171,2023-02-24,Faturado,Direto,1.05
69,98,2023-03-12,Entregue,Representante,1.64
70,88,2023-11-09,Entregue,E-Commerce,4.85
71,178,2024-06-13,Cancelado,representante,7.35
72,157,2024-05-23,Cancelado,representante,8.22
73,132,2024-03-05,FATURADO,Representante,10.46
74,143,2023-05-05,Faturado,Direto,12.14
75,170,2023-02-03,Entregue,representante,4.57
76,193,2024-09-03,cancelado,Direto,
77,153,2024-02-12,Entregue,Direto,
78,27,2024-12-07,Cancelado,REPRESENTANTE,11.94
79,168,2024-02-12,Entregue,Representante,2.29
80,148,2023-09-13,ENTREGUE,E-commerce,4.19
81,154,2024-04-07,Cancelado,Direto,3.03
82,97,2023-10-09,faturado,Direto,
83,151,2023-11-10,em separação,Direto,8.61
84,168,2024-07-23,Cancelado,E-commerce,
85,49,28/07/2023,em separação,E-commerce,8.26
86,14,2024-08-06,Em separação,E-commerce,5.17
87,32,2023-04-15,Entregue,Representante,11.8
88,50,2023-02-09,Faturado,Direto,
89,46,2024-02-10,Em separação,representante,5.81
90,162,2024-12-05,Entregue,Direto,12.35
91,153,2024-12-27,Cancelado,Representante,
92,168,2023-02-18,FATURADO,direto,11.45
