id_producao,id_produto,data_producao,linha_producao,volume_entrada_litros,volume_saida,custo_total,lote,validade
1,29,2024-08-27,LINHA C,9396.99,7839.28,33238.83,L00001,2025-01-27
2,14,2024-05-07,Linha A,6297.6,5338.33,22330.16,L00002,2025-04-22
3,12,2024-02-18,Linha B,5445.89,5018.64,41072.0,L00003,2024-01-27
4,14,2024-06-19,Linha B,3489.6,2503.34,2009.48,L00004,2024-05-12
5,25,2023-10-05,Linha A,6037.26,4568.77,30038.97,L00005,23/03/2025
6,13,2023-07-30,Linha B,7743.46,5579.61,14086.9,L00006,2024-06-15
7,22,2023-01-14,Linha A,4646.84,3407.32,44708.79,L00007,2024-10-24
8,18,2024-11-28,LINHA A,616.87,591.37,12323.32,L00008,2025-03-29
9,5,2024-05-09,Linha B,5234.21,4784.7,30894.74,L00009,2024-03-06
10,14,2024-06-30,Linha A,6612.03,5504.31,3394.94,L00010,2025-03-29
11,27,2024-04-02,Linha B,3606.35,3225.46,8740.55,L00011,2025-02-08
12,13,2024-09-03,LINHA C,6737.3,4766.66,37701.53,L00012,2024-12-18
13,18,2024-02-02,Linha B,8046.19,6808.57,15627.75,L00013,2024-10-27
14,16,2024-10-13,LINHA A,5027.53,4386.79,26785.99,L00014,11/05/2025
15,15,2024-10-06,Linha C,615.14,437.61,40407.05,L00015,2024-10-01
16,9,2023-07-14,linha c,1027.26,846.77,29547.97,L00016,2025-04-30
17,6,2023-06-02,Linha B,1749.76,1428.89,13562.39,L00017,2025-04-09
18,13,2024-02-11,Linha C,5227.42,4260.96,1656.52,L00018,2024-03-27
19,5,2024-04-11,Linha A,1703.0,1369.11,10603.34,L00019,2024-03-23
20,13,2023-06-28,Linha A,5962.76,4775.44,43047.21,L00020,2024-07-26
21,12,2023-03-28,Linha B,2782.29,2266.63,44008.64,L00021,2024-01-30
22,6,2023-05-13,Linha A,1651.04,1367.03,25702.5,L00022,2024-11-20
23,13,2023-07-25,Linha A,542.96,527.32,20203.72,L00023,2024-06-05
24,10,2024-10-12,linha b,3679.94,2761.35,,L00024,2024-10-18
25,7,2024-10-02,linha b,8804.41,6842.73,10068.76,L00025,2024-02-28
26,20,2024-11-18,Linha A,9003.76,7599.32,28476.04,L00026,2024-04-01
27,13,29/07/2023,Linha B,7363.43,5300.25,42328.68,L00027,2024-12-06
28,20,2024-07-02,Linha B,8696.18,6546.39,33744.89,L00028,2024-10-29
29,15,2024-03-12,Linha A,4592.91,4362.05,20328.9,L00029,2024-08-05
30,8,2024-03-02,Linha A,9572.15,8746.24,44156.94,L00030,18/05/2024
31,2,2023-10-04,Linha A,2567.93,2318.77,43978.28,L00031,2024-01-01
32,19,2023-05-16,Linha A,2013.14,1562.21,49562.21,L00032,2024-12-20
33,5,2024-03-29,Linha C,8794.79,6248.08,3543.12,L00033,2025-05-15
34,2,2023-12-23,Linha C,2519.94,2462.26,45566.85,L00034,2024-01-23
35,29,2024-05-17,Linha A,4863.02,3676.82,23809.39,L00035,2024-07-04
36,19,2024-02-03,Linha C,3986.36,3590.02,7444.14,L00036,2025-04-29
37,28,2024-08-30,linha a,9925.01,8549.33,28463.39,L00037,2024-07-28
38,11,2024-12-29,Linha B,7178.98,6580.77,26964.91,L00038,2024-08-06
39,24,2023-05-22,Linha B,1842.54,1683.89,6441.57,L00039,2024-05-25
40,1,2023-04-27,Linha B,4176.51,3321.2,22827.39,L00040,2024-07-05
41,15,2023-04-07,Linha A,1494.15,1087.86,40214.27,L00041,2025-04-04
42,6,2024-02-23,Linha A,4416.26,4144.3,,L00042,2025-05-28
43,18,2023-03-24,Linha C,5045.98,3893.78,22754.99,L00043,2024-06-29
44,17,2024-04-10,Linha C,4426.63,4007.2,27905.89,L00044,24/03/2024
45,27,2023-05-13,Linha B,1293.8,1122.01,31693.52,L00045,2025-02-09
46,19,2024-01-12,Linha A,5658.51,4637.06,37638.56,L00046,2025-04-17
47,14,2024-02-26,Linha B,4261.14,4033.71,8763.26,L00047,2024-09-25
48,18,2023-05-31,Linha A,1819.04,1605.96,23520.36,L00048,2025-01-30
49,5,2023-02-14,Linha C,9044.62,7602.56,22502.57,L00049,2025-01-08
50,13,2023-09-24,Linha B,4137.21,3221.4,30697.2,L00050,2025-02-21
51,11,2024-06-10,Linha C,5307.9,5189.89,15483.34,L00051,2024-04-18
52,25,2024-05-03,Linha C,5462.63,3980.26,40667.74,L00052,2024-08-08
53,15,2023-05-22,Linha B,7465.86,5500.51,16626.57,L00053,2024-03-09
54,3,23/09/2024,Linha C,8405.63,7850.38,28613.72,L00054,2024-07-03
55,11,2024-07-28,Linha A,2986.95,2594.54,4879.64,L00055,2024-05-05
56,23,2023-01-19,Linha A,7650.06,5389.42,11591.47,L00056,2025-03-15
57,1,2023-02-09,Linha A,3025.52,2830.09,45311.65,L00057,2024-04-10
58,23,2023-03-19,linha b,9826.88,7880.56,38427.78,L00058,2025-02-23
59,5,2024-03-15,LINHA B,5556.57,4025.87,41068.44,L00059,08/02/2024
60,23,2024-04-21,LINHA B,4028.12,3347.91,8676.35,L00060,2025-01-23
61,14,2024-12-15,Linha C,3696.0,2800.39,38255.8,L00061,2024-09-09
62,8,2024-03-16,Linha A,4253.54,3483.69,16729.4,L00062,2024-04-07
63,22,2024-09-02,LINHA B,2054.46,1986.51,10354.37,L00063,2024-01-12
64,3,2024-07-06,Linha C,1530.4,1078.93,18301.52,L00064,2025-03-23
65,27,2023-10-19,Linha B,907.99,767.59,6106.6,L00065,2024-07-10
66,3,2023-12-07,Linha C,1540.23,1487.32,26581.1,L00066,05/06/2024
67,12,2024-02-24,linha c,4103.15,3021.84,32126.84,L00067,07/04/2024
68,24,2023-08-28,Linha A,3072.41,2501.59,24165.26,L00068,2024-07-01
69,14,08/08/2023,Linha B,733.51,529.84,48993.0,L00069,2024-08-30
70,26,2023-03-27,Linha B,3963.17,3297.88,,L00070,2024-11-01
